videoId,permalink_url_y,title,message,post_created_time,Primary_Category_1,Secondary_Category_1_revisited,Video_Type_1,Tags,visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,seven_day_views
2486287821648793,https://www.facebook.com/1954072204870360/posts/2486287821648793/,Indian Oil's Remarkable Fight Against Plastic Pollution,इंडियन ऑयल कॉर्पोरेशन करेगी देश से प्लास्टिक को खत्म,2019-11-07 12:53:15,Environment/Ecosystem,"Crisis, Conservation",Explainers,"China, Air pollution, Fuel economy in automobiles, Indian Oil Corporation, Plastic Waste, Oil, Crude Oil, Energy Conservation",other,text only (to),relevant,Object,Neutral ,7243.0
2484296655181243,https://www.facebook.com/1954072204870360/posts/2484296655181243/,Watch Where Plastic Is Exchanged With Rice,जानिए कहां 1 किलो प्लास्टिक के बदले मिल रहा है 1 किलो चावल?,2019-11-11 08:05:15,Environment/Ecosystem,"Conservation, Conservation",Informative,"Telangana, Plastic Free India, Narayan Reddy, India, People of India, Plastic ka Solution, Pollution Free",Crowd,text only (to),loud,Crowd,Neutral ,14573.0
2491947481082827,https://www.facebook.com/1954072204870360/posts/2491947481082827/,Srila Prabhupada - The Founder Of Iskon,सरीला प्रभुपाद - जिन्होंने की थी इस्कॉन की शुरुआत,2019-11-14 10:00:15,Lifestyle,"Religion, Famous Personality",Informative,"Hinduism, Srila Pabhupada, Iskon, Iskon Temple, Lord Krishna, hare rama hare krishna, Spirituality, Temples",famous personality (fp),text only (to),relevant,Famous Personality,Happy ,14560.0
2484382708505971,https://www.facebook.com/1954072204870360/posts/2484382708505971/,Rajnath Singh Joins The First Indo-Uzbek Joint Exercise In Tashkent,भारत और उज्बेकिस्तान का पहला युद्ध अभ्यास,2019-11-06 10:00:15,Global News,Famous Personality,Informative,"Uzbekistan, Tashkent, Uzbekistan, Defence minister, Rajnath Singh, exercise, War Exercise",famous personality (fp),text only (to),relevant,Famous Personality,Neutral ,4036.0
2483423001935275,https://www.facebook.com/1954072204870360/posts/2483423001935275/,Two Records In One Match For 'Hitman' Rohit Sharma,"टी-20 में सबसे ज्यादा रन बनाने वाले बल्लेबाज बने रोहित शर्मा, तोड़ा विराट कोहली का रिकॉर्ड",2019-11-04 16:35:15,Sports & Games,"Cricket, Famous Personality, Award/Achievement",Profile,"Test Cricket & First-Class Cricket, Cricket, Rohit Sharma, Hitman, Virat Kohli, MS Dhoni, t20 cricket, India v Bangladesh",famous personality (fp),other,relevant,Famous Personality,Proud,1904.0
2483481398596102,https://www.facebook.com/1954072204870360/posts/2483481398596102/,Mary Kom's New Avatar Goes Viral,क्या है मैरी कॉम का नया रूप?,2019-11-05 12:05:15,Sports & Games,"Other Sports, Music, Famous Personality","Entertaining, Viral","Social Media, Boxing, Singing & Voice, Mary Kom, MC Mary Kom, Boxer Mary Kom, Mary Kom Singing, Made in North-East",famous personality (fp),text only (to),relevant,Famous Personality,Happy ,3416.0
2485197881757787,https://www.facebook.com/1954072204870360/posts/2485197881757787/,Asmita Potdar's Special Talent,ये महिला बालों से बनाती है पेंटिंग,2019-11-07 20:36:15,Skill & Art ,"Visual Arts, Famous Personality",Profile,"Study Skills, Crafts, Asmita Potdar, Hair Art, Handicrafts, Fine Art, Kolhapur, Talent",commoner (np),text only (to),relevant,Commoner,Neutral ,4117.0
2494932024117706,https://www.facebook.com/1954072204870360/posts/2494932024117706/,Handless Teacher's Inspiring Journey,हाथों के बिना ये शख्स संवार रहा है कई बच्चों की जिंदगी,2019-11-17 20:35:15,Lifestyle,Person Specific,"Profile, Inspiring",not editable,commoner (np), common voice (optv),loud,Commoner,Neutral ,85212.0
2486325884978320,https://www.facebook.com/1954072204870360/posts/2486325884978320/,Pakistan Demands PM Imran Khan's Resignation,क्यों पाकिस्तान की जनता चाहती है इमरान खान का इस्तीफा?,2019-11-07 15:00:15,Global News,"Famous Personality, Political",Shocking/Surprising,"Islamabad, Pakistan, Terrorism, Sindh, Pakistan, Imran Khan, Prime Minister Imran Khan, Economic Crisis in Pakistan, Pakistan Economy",famous personality (fp),text only (to),low,Famous Personality,Neutral ,1906.0
2481752462102329,https://www.facebook.com/1954072204870360/posts/2481752462102329/,Deaf And Mute Girl's Inspiring Story,वो बेटी जो बना रही है अपनी पहचान,2019-11-02 16:35:15,Skill & Art ,"Dance, Person Specific","Shocking/Surprising, Inspiring","Hard of Hearing & Deafness, Adoption, Deaf and mute girl, Inspiring, Stories, Mute, Dancing, Child adoption",commoner (np),text only (to),relevant,Commoner,Action,5357.0
2481550545455854,https://www.facebook.com/1954072204870360/posts/2481550545455854/,Indian Journalists And Human Rights Activists Face Wrath Of WhatsApp Hacking,व्हाट्सएप के जरिए हो गई जासूसी,2019-11-02 12:05:15,Technology & Innovations,Crime,Shocking/Surprising,"Human Rights, Hacking (Computer Security), WhatsApp, WhatsApp Hacking, Indian Journalists, Privacy, Privacy Violation, Ravi Shankar Prasad",other,text only (to),relevant,Object,Neutral ,1678.0
2480669012210674,https://www.facebook.com/1954072204870360/posts/2480669012210674/,"After Coping Severe Criticism, Pakistan Relaxes Two Key Rules On Kartarpur Corridor","दबाव में आया पाकिस्तान, बदले करतारपुर कॉरिडोर के नियम",2019-11-01 20:35:15,Global News,Religion,Controversial,"Sikhism, Religious Travel & Pilgrimages, Pakistan, Kartarpur Corridor, Nankana Sahib, Guru Nanak Dev ji, Imran Khan, Sacred Pilgrimage",famous personality (fp),text only (to),relevant,Temple,Neutral ,4285.0
2481740152103560,https://www.facebook.com/1954072204870360/posts/2481740152103560/,Beautification Of Pune City's Walls By  Municipal Corporation,पुणे में रंगीन 'स्वच्छ भारत',2019-11-04 12:05:15,Environment/Ecosystem,Conservation,"Inspiring, Informative","Pune, Maharashtra, Wall painting, Graffiti, Wall Art, Swachh Bharat, Clean India, Cleanliness",other,text only (to),relevant,Object,Neutral ,2643.0
2480750092202566,https://www.facebook.com/1954072204870360/posts/2480750092202566/,Cyclone 'Maha' Likely To Cause Havoc In South India,चक्रवाती तूफान 'महा' से आ सकती है तबाही,2019-11-01 21:35:15,Environment/Ecosystem,"crisis, News","Shocking/Surprising, Informative","Karnataka, Andhra Pradesh, Kerala, Tamil Nadu, Lakshdeep Island, Cyclone Maha, Cyclone, Fani",other,text only (to),neutral,Nature,Neutral ,3852.0
