visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
other,text only (to),relevant,3778,2019,3,8,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-14
commoner (np),text only (to),low,3651,2019,3,8,low,tags,judiciary & crime,emotions,rare,text only (to),object,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-16
commoner (np),text only (to),low,6785,2019,3,8,low,tags,places,informative,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-18
crowd,text only (to),low,2443,2019,3,8,low,tags,rare,rare,inspiring,text only (to),crowd,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-18
commoner (np),text only (to),relevant,9097,2019,3,8,low,no_tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-18
other,voice over (vo),neutral,5029,2019,3,8,low,tags,rare,day-specific,emotions,rare,object,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-15
famous personality (fp),text only (to),neutral,5980,2019,3,8,low,tags,places,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-17
commoner (np),text only (to),relevant,68377,2019,3,8,high,tags,rare,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-24
famous personality (fp),text only (to),relevant,3947,2019,3,8,low,not_editable,politics,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-13
other,text only (to),low,3634,2019,3,8,low,tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-24
other,text only (to),neutral,4240,2019,3,8,low,tags,environment/ecosystem,emotions,no_video_type_1,text only (to),crowd,rare,action,3 PM - 6 PM,2019-08-14
commoner (np),text only (to),relevant,1256,2019,3,8,low,tags,judiciary & crime,emotions,rare,text only (to),commoner,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-14
crowd,text only (to),relevant,1554,2019,3,8,low,tags,global news,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-13
commoner (np),text only (to),relevant,12740,2019,3,8,low,tags,rare,inspiring,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-14
famous personality (fp),voice of famous personality (fpv),relevant,101481,2019,3,8,high,not_editable,rare,informative,no_video_type_1,voice of famous personality (fpv),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-12
crowd,text only (to),neutral,2332,2019,3,8,low,not_editable,rare,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-12
famous personality (fp),text only (to),relevant,15397,2019,3,8,low,tags,entertainment,day-specific,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-13
crowd,text only (to),relevant,391985,2019,3,8,high,not_editable,lifestyle,rare,inspiring,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-18
famous personality (fp),text only (to),relevant,2214,2019,3,8,low,not_editable,lifestyle,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-14
commoner (np),text only (to),relevant,4129,2019,3,8,low,tags,rare,rare,inspiring,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-19
famous personality (fp),text only (to),relevant,6086,2019,3,8,low,tags,entertainment,day-specific,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-14
other,other,relevant,22653,2019,3,8,low,no_tags,rare,emotions,rare,other,object,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-18
commoner (np),text only (to),relevant,34532,2019,3,8,low,not_editable,rare,emotions,rare,text only (to),object,rare,action,3 PM - 6 PM,2019-08-13
other,text only (to),relevant,4333,2019,3,8,low,not_editable,rare,emotions,rare,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-12
crowd,text only (to),no music,21519,2019,3,8,low,tags,rare,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-12
other,text only (to),neutral,8550,2019,3,8,low,not_editable,environment/ecosystem,emotions,no_video_type_1,text only (to),crowd,rare,action,6 PM - 9 PM,2019-08-09
commoner (np),text only (to),low,306976,2019,3,8,high,no_tags,technology & innovations,rare,inspiring,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-16
commoner (np),common voice (optv),no music,4126,2019,3,8,low,not_editable,lifestyle,inspiring,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-26
crowd,common voice (optv),no music,6102,2019,3,8,low,tags,government,informative,no_video_type_1,common voice (optv),crowd,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-25
other,text only (to),relevant,6471,2019,3,8,low,tags,environment/ecosystem,emotions,informative,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-24
commoner (np),text only (to),neutral,2316,2019,3,8,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-14
famous personality (fp),text only (to),relevant,31650,2019,3,8,low,tags,technology & innovations,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-17
crowd,text only (to),relevant,5601,2019,3,8,low,not_editable,rare,rare,inspiring,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-17
famous personality (fp),text only (to),relevant,2803,2019,3,8,low,tags,lifestyle,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-16
famous personality (fp),common voice (optv),no music,1837,2019,3,8,low,tags,global news,rare,no_video_type_1,common voice (optv),famous personality,anger,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-08
other,text only (to),relevant,1374,2019,3,8,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-09
other,text only (to),low,23557,2019,3,8,low,tags,global news,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-08
famous personality (fp),text only (to),low,7954,2019,3,8,low,not_editable,politics,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-08
commoner (np),text only (to),relevant,24761,2019,3,8,low,tags,rare,rare,informative,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-08
famous personality (fp),text only (to),relevant,16141,2019,3,8,low,not_editable,sports & games,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-13
other,text only (to),relevant,18060,2019,3,8,low,not_editable,judiciary & crime,informative,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-08
famous personality (fp),text only (to),relevant,25087,2019,3,8,low,not_editable,lifestyle,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-09
other,text only (to),relevant,1907,2019,3,8,low,tags,rare,rare,inspiring,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-11
other,text only (to),low,1136,2019,3,8,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-08
commoner (np),common voice (optv),no music,3545,2019,3,8,low,no_tags,sports & games,informative,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-29
famous personality (fp),voice of famous personality (fpv),no music,2432,2019,3,8,low,tags,government,rare,explainers,voice of famous personality (fpv),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-13
famous personality (fp),text only (to),loud,3368,2019,3,8,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-07
famous personality (fp),voice over (vo),low,26405,2019,4,12,low,no_tags,lifestyle,explainers,no_video_type_1,rare,famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-17
famous personality (fp),text only (to),relevant,3340,2019,3,8,low,tags,politics,rare,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-07
other,voice over (vo),no music,5733,2019,3,8,low,no_tags,rare,informative,no_video_type_1,rare,commoner,rare,action,9 PM - 12 AM,2019-08-17
commoner (np),text only (to),relevant,3719,2019,3,8,low,tags,sports & games,informative,no_video_type_1,text only (to),object,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-12
famous personality (fp),voice of famous personality (fpv),no music,290576,2019,3,8,high,no_tags,politics,informative,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-06
commoner (np),text only (to),relevant,18062,2019,4,10,low,not_editable,entertainment,emotions,no_video_type_1,text only (to),object,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-28
famous personality (fp),voice of famous personality (fpv),loud,3602,2019,3,8,low,tags,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-06
other,text only (to),relevant,8906,2019,3,8,low,no_tags,lifestyle,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-12
commoner (np),text only (to),loud,8312,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-20
crowd,text only (to),relevant,3624,2019,3,8,low,tags,rare,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-20
crowd,common voice (optv),no music,403374,2019,3,8,high,tags,lifestyle,emotions,no_video_type_1,common voice (optv),object,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-20
other,common voice (optv),no music,20728,2019,3,7,low,not_editable,rare,emotions,no_video_type_1,common voice (optv),object,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-07-13
famous personality (fp),text only (to),low,15849,2019,3,8,low,no_tags,lifestyle,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-10
other,text only (to),low,2118,2019,3,8,low,no_tags,lifestyle,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-26
commoner (np),text only (to),low,9345,2019,3,8,low,tags,rare,emotions,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-11
other,other,relevant,15656,2019,3,8,low,not_editable,lifestyle,emotions,no_video_type_1,other,object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-10
commoner (np),text only (to),relevant,2378,2019,3,8,low,not_editable,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-07
commoner (np),text only (to),relevant,6318,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-09
famous personality (fp),text only (to),relevant,6245,2019,3,8,low,tags,judiciary & crime,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-07
commoner (np),text only (to),relevant,3772,2019,3,8,low,no_tags,environment/ecosystem,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-07
famous personality (fp),voice of famous personality (fpv),no music,22276,2019,3,8,low,no_tags,rare,day-specific,rare,voice of famous personality (fpv),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-07
famous personality (fp),text only (to),neutral,2523,2019,3,8,low,not_editable,technology & innovations,day-specific,rare,text only (to),famous personality,rare,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-12
other,text only (to),relevant,61787,2019,3,8,high,tags,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-05
other,other,loud,1800,2019,3,8,low,not_editable,government,informative,no_video_type_1,other,rare,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-05
famous personality (fp),voice over (vo),relevant,5870,2019,3,8,low,no_tags,lifestyle,rare,no_video_type_1,rare,famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-30
other,text only (to),low,5219,2019,3,8,low,tags,places,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-08
commoner (np),text only (to),relevant,10925,2019,3,8,low,no_tags,lifestyle,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-11
commoner (np),other,low,3416,2019,3,8,low,no_tags,rare,rare,no_video_type_1,other,commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-06
commoner (np),text only (to),relevant,5692,2019,3,8,low,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-11
commoner (np),other,relevant,14076,2019,3,8,low,no_tags,sports & games,inspiring,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-11
commoner (np),text only (to),relevant,2604,2019,3,8,low,not_editable,technology & innovations,rare,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-10
commoner (np),text only (to),low,835,2019,3,8,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-10
famous personality (fp),text only (to),low,3483,2019,3,8,low,no_tags,global news,informative,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-06
commoner (np),text only (to),low,13014,2019,3,8,low,no_tags,sports & games,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-06
other,text only (to),relevant,9182,2019,3,8,low,not_editable,places,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-07
famous personality (fp),text only (to),low,4380,2019,3,8,low,no_tags,lifestyle,explainers,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-20
commoner (np),text only (to),relevant,50940,2019,3,8,high,tags,lifestyle,emotions,no_video_type_1,text only (to),commoner,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-09
famous personality (fp),text only (to),low,1214,2019,3,8,low,not_editable,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-05
commoner (np),text only (to),low,3395,2019,3,8,low,no_tags,lifestyle,day-specific,explainers,text only (to),famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-15
commoner (np),text only (to),relevant,8355,2019,3,8,low,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-24
famous personality (fp),text only (to),low,2374,2019,3,8,low,tags,sports & games,day-specific,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-03
other,voice over (vo),low,3564,2019,3,8,low,no_tags,lifestyle,day-specific,explainers,rare,object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-14
commoner (np),common voice (optv),no music,41054,2019,3,8,high,tags,rare,rare,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-02
other,other,relevant,3409,2019,3,8,low,not_editable,rare,inspiring,informative,other,commoner,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-21
commoner (np),text only (to),relevant,9433,2019,3,8,low,tags,lifestyle,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-25
other,text only (to),loud,9183,2019,3,8,low,tags,places,explainers,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-28
commoner (np),other,low,145929,2019,3,8,high,tags,lifestyle,inspiring,no_video_type_1,other,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-06
commoner (np),other,loud,45791,2019,3,8,high,not_editable,rare,inspiring,no_video_type_1,other,rare,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-02
commoner (np),text only (to),low,899,2019,3,8,low,not_editable,rare,inspiring,informative,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-06
other,text only (to),relevant,14084,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),rare,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-02
commoner (np),text only (to),relevant,2448,2019,3,8,low,no_tags,lifestyle,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-03
commoner (np),text only (to),low,16667,2019,4,11,low,no_tags,lifestyle,informative,no_video_type_1,text only (to),commoner,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-11
crowd,text only (to),relevant,2143,2019,3,8,low,tags,rare,day-specific,rare,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-02
commoner (np),other,low,1489,2019,3,8,low,no_tags,lifestyle,informative,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-03
commoner (np),text only (to),low,2027,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-11
commoner (np),common voice (optv),no music,4783,2019,3,8,low,tags,judiciary & crime,emotions,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-01
commoner (np),common voice (optv),no music,6323,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-01
famous personality (fp),text only (to),relevant,28157,2019,3,8,low,not_editable,rare,explainers,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-02
famous personality (fp),text only (to),relevant,3255,2019,3,8,low,not_editable,sports & games,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-02
famous personality (fp),voice of famous personality (fpv),no music,1955,2019,3,8,low,no_tags,technology & innovations,informative,no_video_type_1,voice of famous personality (fpv),object,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-01
other,text only (to),relevant,887,2019,3,8,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-05
commoner (np),other,low,5546,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,other,object,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-10
commoner (np),text only (to),relevant,2590,2019,3,8,low,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-23
crowd,text only (to),relevant,12373,2019,3,8,low,tags,lifestyle,day-specific,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-02
commoner (np),other,no music,2290,2019,3,8,low,no_tags,entertainment,day-specific,rare,other,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-04
famous personality (fp),text only (to),relevant,2712,2019,3,7,low,not_editable,judiciary & crime,emotions,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-07-31
commoner (np),text only (to),relevant,2152,2019,3,8,low,no_tags,places,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-01
commoner (np),text only (to),relevant,29194,2019,3,8,low,not_editable,environment/ecosystem,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-01
famous personality (fp),voice of famous personality (fpv),no music,89194,2019,3,8,high,not_editable,judiciary & crime,rare,no_video_type_1,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-10
commoner (np),text only (to),relevant,44154,2019,3,8,high,not_editable,lifestyle,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-02
commoner (np),text only (to),relevant,9623,2019,3,8,low,not_editable,environment/ecosystem,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-04
famous personality (fp),text only (to),relevant,1716,2019,3,7,low,not_editable,sports & games,emotions,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-07-31
commoner (np),text only (to),relevant,1207,2019,3,8,low,no_tags,places,inspiring,no_video_type_1,text only (to),commoner,happy,action,9 AM - 12 PM,2019-08-05
other,other,relevant,2585,2019,3,8,low,no_tags,entertainment,explainers,no_video_type_1,other,famous personality,action,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-11
crowd,other,loud,2085,2019,3,7,low,no_tags,judiciary & crime,emotions,no_video_type_1,other,famous personality,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-07-30
other,text only (to),relevant,14752,2019,3,8,low,no_tags,places,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-03
commoner (np),text only (to),relevant,2021,2019,3,8,low,not_editable,sports & games,informative,no_video_type_1,text only (to),commoner,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-03
commoner (np),text only (to),relevant,4442,2019,3,8,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-03
commoner (np),text only (to),relevant,16038,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-03
commoner (np),text only (to),relevant,4396,2019,3,8,low,not_editable,sports & games,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-08-01
commoner (np),text only (to),relevant,9415,2019,3,7,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,rare,action,12 PM - 03 PM,2019-07-31
other,text only (to),relevant,1584,2019,3,7,low,no_tags,lifestyle,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-07-30
commoner (np),text only (to),relevant,10777,2019,3,7,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-07-30
crowd,text only (to),neutral,11297,2019,3,7,low,no_tags,judiciary & crime,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-07-30
commoner (np),text only (to),relevant,6410,2019,3,8,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-04
commoner (np),text only (to),relevant,13996,2019,3,8,low,not_editable,rare,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-08-09
commoner (np),other,relevant,3053,2019,3,8,low,not_editable,rare,inspiring,no_video_type_1,other,commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-08-09
famous personality (fp),other,relevant,18914,2019,3,8,low,tags,places,explainers,no_video_type_1,other,famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-02
commoner (np),text only (to),relevant,44638,2019,3,8,high,not_editable,places,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-01
commoner (np),other,relevant,15153,2019,3,7,low,not_editable,rare,emotions,no_video_type_1,other,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-31
other,text only (to),relevant,3984,2019,3,7,low,not_editable,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-07-29
other,text only (to),low,4678,2019,3,7,low,no_tags,judiciary & crime,explainers,no_video_type_1,text only (to),crowd,anger,no_thumbnail_sentiment,9 AM - 12 PM,2019-07-30
other,text only (to),low,6762,2019,3,8,low,no_tags,judiciary & crime,explainers,no_video_type_1,text only (to),crowd,anger,no_thumbnail_sentiment,12 PM - 03 PM,2019-08-05
commoner (np),other,relevant,26575,2019,3,7,low,not_editable,government,informative,no_video_type_1,other,crowd,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-30
commoner (np),text only (to),relevant,49715,2019,3,7,high,not_editable,lifestyle,explainers,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-30
famous personality (fp),text only (to),low,1605,2019,3,7,low,not_editable,sports & games,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-07-29
commoner (np),text only (to),relevant,22201,2019,3,8,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-10
other,text only (to),relevant,8415,2019,3,8,low,not_editable,lifestyle,explainers,no_video_type_1,text only (to),rare,anger,action,6 AM - 9 AM,2019-08-05
other,text only (to),relevant,8093,2019,3,8,low,not_editable,technology & innovations,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-05
commoner (np),text only (to),relevant,1802,2019,3,8,low,not_editable,places,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-04
commoner (np),text only (to),relevant,18608,2019,3,8,low,no_tags,lifestyle,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-09
commoner (np),text only (to),relevant,3488,2019,3,9,low,not_editable,rare,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-09-15
other,text only (to),relevant,3924,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-08
commoner (np),common voice (optv),no music,5910,2019,3,7,low,tags,judiciary & crime,emotions,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,9 PM - 12 AM,2019-07-26
famous personality (fp),other,loud,1698,2019,3,7,low,no_tags,sports & games,inspiring,informative,other,famous personality,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-07-25
commoner (np),text only (to),relevant,7207,2019,3,7,low,no_tags,technology & innovations,rare,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-27
other,text only (to),relevant,30836,2019,3,7,low,no_tags,lifestyle,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-31
famous personality (fp),text only (to),relevant,60070,2019,3,7,high,not_editable,lifestyle,explainers,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-07-30
famous personality (fp),text only (to),relevant,1291,2019,3,8,low,not_editable,rare,day-specific,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-08-01
