visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),text only (to),relevant,18082,2019,2,6,low,no_tags,environment/ecosystem,inspiring,informative,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-27
commoner (np),text only (to),relevant,16991,2019,2,6,low,no_tags,rare,emotions,rare,text only (to),commoner,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-26
commoner (np),text only (to),relevant,3039,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-26
commoner (np),text only (to),relevant,2866,2019,2,6,low,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-25
famous personality (fp),text only (to),neutral,1757,2019,2,6,low,no_tags,politics,informative,rare,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-24
commoner (np),common voice (optv),no music,9289,2019,2,6,low,no_tags,environment/ecosystem,inspiring,informative,common voice (optv),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-25
other,text only (to),relevant,45907,2019,2,6,high,no_tags,rare,day-specific,no_video_type_1,text only (to),rare,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-24
commoner (np),other,relevant,2705,2019,2,6,low,not_editable,global news,emotions,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-24
famous personality (fp),text only (to),relevant,20127,2019,2,6,low,no_tags,places,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-27
commoner (np),text only (to),relevant,9048,2019,2,6,low,not_editable,rare,inspiring,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-30
crowd,text only (to),relevant,10404,2019,2,6,low,no_tags,rare,rare,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-25
commoner (np),text only (to),relevant,50154,2019,2,6,high,no_tags,sports & games,inspiring,informative,text only (to),object,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-25
other,text only (to),relevant,8323,2019,2,6,low,not_editable,lifestyle,inspiring,informative,text only (to),object,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-30
commoner (np),text only (to),relevant,918445,2019,2,6,high,no_tags,places,emotions,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-30
commoner (np),text only (to),relevant,535768,2019,4,12,high,not_editable,places,emotions,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-12
commoner (np),text only (to),no music,62708,2019,2,6,high,not_editable,rare,emotions,rare,text only (to),rare,rare,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-26
famous personality (fp),text only (to),relevant,2397,2019,2,6,low,no_tags,sports & games,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-24
other,text only (to),relevant,1550,2019,2,6,low,tags,rare,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-25
commoner (np),voice over (vo),neutral,30367,2019,2,6,low,tags,lifestyle,explainers,no_video_type_1,rare,rare,anger,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-30
commoner (np),common voice (optv),relevant,11606,2019,2,6,low,not_editable,rare,inspiring,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-24
commoner (np),text only (to),relevant,19855,2019,2,6,low,not_editable,lifestyle,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-24
other,text only (to),relevant,1877,2019,2,6,low,tags,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-25
commoner (np),text only (to),relevant,50286,2019,2,6,high,tags,lifestyle,rare,no_video_type_1,text only (to),object,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-23
commoner (np),text only (to),low,14266,2019,2,6,low,not_editable,judiciary & crime,day-specific,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-26
commoner (np),text only (to),relevant,19145,2019,2,6,low,no_tags,rare,inspiring,informative,text only (to),rare,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-21
other,text only (to),low,14140,2019,2,6,low,no_tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-22
commoner (np),text only (to),low,2222,2019,2,6,low,no_tags,sports & games,informative,rare,text only (to),crowd,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-21
famous personality (fp),voice of famous personality (fpv),no music,1913,2019,2,6,low,no_tags,politics,informative,no_video_type_1,voice of famous personality (fpv),famous personality,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-21
famous personality (fp),text only (to),low,5715,2019,2,6,low,no_tags,politics,rare,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-20
commoner (np),text only (to),low,31176,2019,2,6,low,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-21
other,text only (to),relevant,14312,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-23
commoner (np),text only (to),low,22003,2019,2,6,low,no_tags,rare,emotions,rare,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-23
commoner (np),text only (to),relevant,29504,2019,2,6,low,no_tags,sports & games,inspiring,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-24
other,text only (to),relevant,74758,2019,2,6,high,not_editable,government,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-22
commoner (np),text only (to),relevant,31204,2019,2,6,low,not_editable,rare,inspiring,informative,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-21
other,text only (to),relevant,1488,2019,2,6,low,no_tags,entertainment,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-23
other,text only (to),relevant,51004,2019,2,6,high,no_tags,rare,emotions,rare,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-21
famous personality (fp),common voice (optv),low,4459,2019,2,6,low,not_editable,politics,emotions,no_video_type_1,common voice (optv),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-21
famous personality (fp),voice of famous personality (fpv),low,15798,2019,2,6,low,no_tags,entertainment,rare,rare,voice of famous personality (fpv),famous personality,anger,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-20
other,text only (to),relevant,2054,2019,2,6,low,no_tags,lifestyle,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-20
other,other,neutral,9532,2019,2,6,low,no_tags,lifestyle,informative,no_video_type_1,other,rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-29
famous personality (fp),text only (to),relevant,1604,2019,2,6,low,no_tags,sports & games,informative,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-19
famous personality (fp),text only (to),relevant,4479,2019,2,6,low,no_tags,politics,rare,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-20
famous personality (fp),voice of famous personality (fpv),no music,3365,2019,2,6,low,no_tags,politics,informative,no_video_type_1,voice of famous personality (fpv),commoner,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-22
commoner (np),text only (to),relevant,72580,2019,2,6,high,no_tags,rare,inspiring,informative,text only (to),commoner,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-20
commoner (np),common voice (optv),no music,65721,2019,2,6,high,not_editable,environment/ecosystem,inspiring,informative,common voice (optv),commoner,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-24
other,text only (to),low,15692,2019,2,6,low,not_editable,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-20
famous personality (fp),text only (to),low,19052,2019,2,6,low,no_tags,politics,informative,no_video_type_1,text only (to),famous personality,anger,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-19
famous personality (fp),text only (to),relevant,21892,2019,2,6,low,no_tags,entertainment,rare,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-22
commoner (np),text only (to),relevant,14015,2019,2,6,low,no_tags,environment/ecosystem,inspiring,informative,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-22
commoner (np),text only (to),relevant,14311,2019,2,6,low,no_tags,rare,informative,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-23
other,text only (to),relevant,55211,2019,2,6,high,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),rare,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-21
other,text only (to),relevant,46286,2019,2,6,high,not_editable,rare,rare,informative,text only (to),famous personality,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-19
other,text only (to),relevant,9115,2019,2,6,low,not_editable,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-20
commoner (np),text only (to),low,20970,2019,2,6,low,no_tags,technology & innovations,informative,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-23
famous personality (fp),text only (to),relevant,6125,2019,2,6,low,no_tags,entertainment,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-19
other,text only (to),relevant,29772,2019,2,6,low,no_tags,places,informative,no_video_type_1,text only (to),commoner,rare,action,12 PM - 03 PM,2019-06-28
famous personality (fp),voice of famous personality (fpv),relevant,5525,2019,2,6,low,not_editable,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-19
commoner (np),common voice (optv),no music,6524,2019,3,7,low,no_tags,lifestyle,informative,no_video_type_1,common voice (optv),rare,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-07-03
famous personality (fp),text only (to),loud,1682,2019,2,6,low,no_tags,politics,emotions,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-18
famous personality (fp),text only (to),relevant,9412,2019,2,6,low,no_tags,rare,emotions,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-18
other,common voice (optv),low,72347,2019,2,6,high,no_tags,technology & innovations,informative,no_video_type_1,common voice (optv),object,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-25
